realtime_start,realtime_end,date,value
2023-04-30,2023-04-30,2014-10-01,17852.54
2023-04-30,2023-04-30,2015-01-01,17991.348
2023-04-30,2023-04-30,2015-04-01,18193.707
2023-04-30,2023-04-30,2015-07-01,18306.96
2023-04-30,2023-04-30,2015-10-01,18332.079
2023-04-30,2023-04-30,2016-01-01,18425.306
2023-04-30,2023-04-30,2016-04-01,18611.617
2023-04-30,2023-04-30,2016-07-01,18775.459
2023-04-30,2023-04-30,2016-10-01,18968.041
2023-04-30,2023-04-30,2017-01-01,19148.194
2023-04-30,2023-04-30,2017-04-01,19304.506
2023-04-30,2023-04-30,2017-07-01,19561.896
2023-04-30,2023-04-30,2017-10-01,19894.75
2023-04-30,2023-04-30,2018-01-01,20155.486
2023-04-30,2023-04-30,2018-04-01,20470.197
2023-04-30,2023-04-30,2018-07-01,20687.278
2023-04-30,2023-04-30,2018-10-01,20819.269
2023-04-30,2023-04-30,2019-01-01,21013.085
2023-04-30,2023-04-30,2019-04-01,21272.448
2023-04-30,2023-04-30,2019-07-01,21531.839
2023-04-30,2023-04-30,2019-10-01,21706.532
2023-04-30,2023-04-30,2020-01-01,21538.032
2023-04-30,2023-04-30,2020-04-01,19636.731
2023-04-30,2023-04-30,2020-07-01,21362.428
2023-04-30,2023-04-30,2020-10-01,21704.706
2023-04-30,2023-04-30,2021-01-01,22313.85
2023-04-30,2023-04-30,2021-04-01,23046.934
2023-04-30,2023-04-30,2021-07-01,23550.42
2023-04-30,2023-04-30,2021-10-01,24349.121
2023-04-30,2023-04-30,2022-01-01,24740.48
2023-04-30,2023-04-30,2022-04-01,25248.476
2023-04-30,2023-04-30,2022-07-01,25723.941
2023-04-30,2023-04-30,2022-10-01,26137.992
2023-04-30,2023-04-30,2023-01-01,26465.865
